state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density
Oklahoma,Stephens,42814,43174,43710,3603,12610,8112,5381,12.1,42.4,27.3,18.1,8055.0,79.60002507679769,3.0405617202683217,11.173803105343447,0.9466491129082816,0.0940379913485048,2.56,19.513909685459
Oklahoma,Texas,21291,20822,20495,3506,3048,3128,3397,26.8,23.3,23.9,26.0,2615.0,53.91514862880502,4.825971345795135,4.786284081438266,2.2978926062626504,0.17462396317021867,3.07,3.99494895004521
Oklahoma,Tillman,6948,7039,6977,1002,1606,1321,840,21.0,33.7,27.7,17.6,1432.0,68.06083650190115,8.035487959442332,6.653992395437262,0.7351077313054499,0.1394169835234474,2.42,3.33078223336982
Oklahoma,Tulsa,670653,673961,677358,44514,110919,138882,143193,10.2,25.4,31.7,32.7,97613.0,62.1470601178904,11.167746595183424,12.053995562930536,4.01666101462369,0.26262584424695373,2.53,435.157397772775
Oklahoma,Wagoner,81379,84198,86644,4947,17017,19072,13909,9.0,31.0,34.7,25.3,8104.0,69.95267549060453,4.692924825604376,17.607281351152132,2.1504342531166873,0.11751006847632171,2.7,53.5248211667315
Oklahoma,Washington,52604,52857,53242,3381,11805,9996,10443,9.5,33.1,28.1,29.3,8693.0,71.62516600265604,4.086985391766268,17.790504648074368,2.2011952191235062,0.15438247011952191,2.48,48.3271792394326
Oklahoma,Washita,10903,10881,10732,778,3072,2173,1428,10.4,41.2,29.2,19.2,1702.0,84.48952333249854,1.9200267134151434,7.212622088655146,0.4507888805409466,0.008347942232239752,2.56,4.39998639144867
Oklahoma,Woods,8598,8613,8587,461,1664,1546,1751,8.5,30.7,28.5,32.3,1125.0,83.75026957084322,3.256415786068579,6.43735173603623,1.2184602113435412,0.17252533965926245,2.47,2.73927781550016
Oklahoma,Woodward,20406,20216,19990,1686,5640,3876,2730,12.1,40.5,27.8,19.6,2662.0,80.1926576996493,2.3660496293336886,6.054956274692591,0.9499711457362275,0.1908820526479336,2.74,6.51594563931058
Oregon,Baker,16725,16873,16938,1130,3599,4564,2968,9.2,29.4,37.2,24.2,2639.0,89.62433921943538,1.0178832527274773,3.5822742098751545,0.9279046226521201,0.39365650657968737,2.22,2.01157896440143
Oregon,Benton,95208,96277,97630,2143,8353,16468,30853,3.7,14.4,28.5,53.4,15593.0,79.4882325972339,1.863490486742569,2.870214716894628,8.187514327194927,0.7335523802246504,2.4,51.3406277385844
Oregon,Clackamas,422444,423763,423177,16842,64399,100525,115606,5.7,21.7,33.8,38.9,35044.0,80.43324436453263,1.9616867796376871,3.006084433614291,6.395645188694868,0.6594158169465133,2.59,83.7533759694779
Oregon,Clatsop,41160,41916,41695,2361,8241,11680,7729,7.9,27.5,38.9,25.8,5315.0,84.64245150658085,1.1758679820947375,3.5587822639912696,2.4452709173106473,0.6614257399282899,2.37,17.9786242773207
Oregon,Columbia,52730,53229,53588,3606,12418,14970,6786,9.5,32.9,39.6,18.0,5361.0,86.47948539638386,1.3247566063977747,4.61230876216968,2.3435326842837276,0.5945757997218358,2.61,29.8332398571
Oregon,Coos,64971,65119,64990,4854,14537,19301,9645,10.0,30.1,39.9,20.0,11136.0,85.20895795504131,0.9853187506158242,6.187801753867376,1.9818982869529722,0.5841532592936672,2.34,15.315037571779
Oregon,Crook,24923,25753,26375,1655,5715,7022,3678,9.2,31.6,38.9,20.4,3056.0,86.65700590792554,0.7728606992903059,4.273027904730056,1.0106639913796307,0.3678519674506744,2.38,2.89515511375029
Oregon,Curry,23516,23720,23598,1533,5208,7647,4565,8.1,27.5,40.3,24.1,3488.0,85.532758218699,0.8898733193440583,5.786119530582109,1.7564311805393644,0.3303023237739955,2.13,5.33658846624705
Oregon,Deschutes,199454,205358,206549,8105,28930,50656,55259,5.7,20.2,35.4,38.7,17681.0,85.86744819310472,0.9964462085198689,2.9570314302856877,2.5153459177551114,0.5229150320764296,2.47,23.1129110798434
Oregon,Douglas,111288,112057,112297,7716,26143,32440,15307,9.5,32.0,39.8,18.8,18301.0,86.84801823979382,0.8682075767839146,5.22907132354156,1.8900655905628894,0.5129942009351198,2.37,8.30553484540074
Oregon,Gilliam,2017,2015,2018,97,478,575,328,6.6,32.3,38.9,22.2,205.0,87.50574184657786,0.8727606798346348,4.6853468075333025,1.8373909049150206,1.3321084060633899,2.22,0.611176039475829
Oregon,Grant,7241,7288,7218,526,1977,2087,969,9.5,35.6,37.5,17.4,1123.0,89.23037846075692,1.27000254000508,4.546609093218187,1.0414020828041655,0.5969011938023876,2.12,0.612521990898525
Oregon,Harney,7502,7590,7515,503,1987,2076,831,9.3,36.8,38.5,15.4,1200.0,87.25089738829062,0.9778437925485828,5.9784626810248795,1.3244213392746627,0.39608862482980567,2.23,0.275372597067054
Oregon,Hood River,23958,24094,24048,2747,3131,4221,6299,16.8,19.1,25.7,38.4,2584.0,71.85727618637375,0.7897192906884917,2.9399095412448846,2.681455955201378,0.5133175389475195,2.59,17.10615390385
Oregon,Jackson,223614,224327,221644,14539,40224,56668,47806,9.1,25.3,35.6,30.0,29803.0,81.01866142837099,1.5746958247309026,4.160035278317865,2.531219306861232,0.717192166609874,2.41,29.7238107554776
Oregon,Jefferson,24577,25122,25330,2031,4914,6278,3486,12.2,29.4,37.6,20.9,3836.0,67.3227911091452,1.1574330052711121,15.466843599100594,1.408087286667404,0.5013085627925836,2.81,5.01367505488776
Oregon,Josephine,88235,88590,87730,5990,19899,27495,11783,9.2,30.5,42.2,18.1,14593.0,85.93199499932842,1.211939619990288,4.655583911062436,2.0426296920040916,0.5382954322378005,2.34,20.1412164370712
