state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Florida,Hamilton,13733,13082,13217,2504,4752,2201,941,24.1,45.7,21.2,9.0,2933.0,58.68328366296397,31.65808723923056,1.4562449200758605,0.8195610945543214,0.135464643727987,2.44,10.7230118532973,3841.0,29.06105772868276,1647.0,12.5898180706314,935.0,6.808417680040778,22.420119247821436
Minnesota,Polk,31083,30817,30731,1521,6329,7537,5692,7.2,30.0,35.8,27.0,3658.0,87.57113451991768,3.57186100012108,3.390240949267466,1.0200992856278,0.1574040440731323,2.42,6.18818067058906,8950.0,29.12368618007875,3880.0,12.590453321218808,1591.0,5.11855355017212,11.870071713664537
Mississippi,Jones,67163,66839,66569,6182,14147,14905,9073,14.0,31.9,33.6,20.5,12286.0,63.36425746134484,28.71628910463862,1.5951096727795755,0.6673858324343761,0.0776699029126213,2.69,38.0394248803715,21234.0,31.897730174705945,8422.0,12.600427893894285,3207.0,4.774950493575331,18.381483864211017
Ohio,Putnam,34395,34353,34334,1242,9078,6911,5668,5.4,39.6,30.2,24.8,2401.0,92.98771939662424,0.8243144731677229,0.9869343352212192,0.3981382829585599,0.1177592104525318,2.54,27.1799056026972,8492.0,24.733500320382127,4330.0,12.60443047186563,1890.0,5.49498473615351,6.989200360958287
Oklahoma,Garfield,62692,61947,61920,4832,15134,11383,9577,11.8,37.0,27.8,23.4,7792.0,73.71785683570793,4.13525212854399,6.299630192357308,1.846171487544076,4.519393400796949,2.54,22.6848346622173,15233.0,24.601098191214472,7809.0,12.605937333527049,2915.0,4.649716072226121,12.578494519508613
Oklahoma,Noble,10922,10942,10896,777,2658,2413,1589,10.4,35.7,32.4,21.4,1271.0,79.69812572565931,2.363576049096036,14.587825510034833,0.6468734450157572,0.2405042295571405,2.42,6.01980397654967,3050.0,27.991923641703377,1380.0,12.611953938950831,302.0,2.7650613440761767,11.61579235971486
Iowa,Monroe,7597,7595,7550,336,2092,1719,1023,6.5,40.5,33.2,19.8,786.0,95.02042900919304,1.09805924412666,0.9703779366700716,0.6639427987742594,0.1149131767109295,2.32,6.99978151832899,1882.0,24.927152317880793,958.0,12.613561553653717,357.0,4.699223377649072,10.348913759052007
Georgia,Appling,18366,18411,18428,2742,4741,3667,1199,22.2,38.4,29.7,9.7,3292.0,71.59150088532445,18.99281324861993,1.348817831475888,0.926986772211228,0.1041558171023851,2.68,14.0182875557395,4833.0,26.226394616887344,2323.0,12.617456955081202,1303.0,7.0946313840792765,17.880614849818045
Virginia,Harrisonburg city,51706,51526,51158,4416,7029,5931,9172,16.6,26.5,22.3,34.5,11006.0,67.42797458438507,9.28540342936722,1.712942814866394,5.0047871877448,0.1653755766385238,2.74,1188.88697635342,13492.0,26.373196762969624,6503.0,12.620812793541125,3235.0,6.2565272889026415,21.36009005162442
Virginia,Buckingham,16826,16940,16982,2419,5746,2970,1483,19.2,45.5,23.5,11.8,2487.0,63.191198267016304,32.886785999315926,1.5847679854064531,0.541557405084939,0.1539163151294037,2.56,11.3268219667749,3993.0,23.513131551054055,2139.0,12.626918536009446,815.0,4.843694282657792,14.681227863046045
Tennessee,Perry,8379,8473,8685,1289,2570,1393,523,22.3,44.5,24.1,9.1,1413.0,92.52648549055736,2.9709811146936898,2.2685398433901427,0.5527406725011516,0.0460617227084292,2.34,7.36557762648078,2332.0,26.850892343120325,1070.0,12.628348872890358,418.0,4.988662131519274,16.676501829340257
South Carolina,Barnwell,20580,20580,20414,2584,5084,4312,1944,18.6,36.5,31.0,14.0,4680.0,52.24068714405751,42.979180281953134,1.820558304546728,0.952292036224442,0.1400429465035944,2.55,15.1919149227249,5834.0,28.578426570000982,2599.0,12.6287657920311,915.0,4.446064139941691,22.740524781341108
Florida,Calhoun,13703,13514,13464,2267,4279,2587,1017,22.3,42.2,25.5,10.0,2488.0,79.09221606079278,12.8568494557404,4.087081536249744,0.9379064831929896,0.4039159307181488,2.73,9.82992818888334,4103.0,30.47385620915033,1707.0,12.631345271570224,791.0,5.772458585711158,18.410537220660057
Mississippi,Noxubee,10228,10114,9990,1546,2659,1755,827,22.8,39.2,25.9,12.2,2674.0,27.427115765638263,70.053778658364,0.6321351070855741,0.2641758656477026,0.094348523445608,2.64,6.01404563584686,2730.0,27.32732732732733,1278.0,12.635950168083845,640.0,6.257332811888933,26.43859996045086
Missouri,Buchanan,84460,83655,82911,6079,22170,16933,12844,10.5,38.2,29.2,22.1,14831.0,83.21220533108928,6.862220085026394,2.7343963453951323,1.6600911465448465,0.6502661173101933,2.54,84.2447513744697,24863.0,29.987577040440954,10576.0,12.642400334708025,4931.0,5.838266635093536,17.72876695953619
Texas,Swisher,6946,6996,6881,1258,1586,1038,757,27.1,34.2,22.4,16.3,1347.0,64.81413323518586,6.428659060238008,1.9997546313335783,0.5398110661268556,0.2085633664581033,2.71,3.24614670241567,2288.0,33.25098096206946,885.0,12.650085763293312,205.0,2.951338900086381,19.253859348198972
Alabama,Calhoun,116239,115677,115788,11867,27783,24939,15674,14.8,34.6,31.1,19.5,21630.0,70.176624349568,22.34880255368354,2.266231280994764,1.4274895564440608,0.1897347784663241,2.49,73.3486880019654,32453.0,28.02794762842436,14637.0,12.653336445447236,5429.0,4.670549471347826,18.698617702741256
Oklahoma,Jackson,24736,24720,24556,2188,4377,5562,3930,13.6,27.3,34.6,24.5,3576.0,69.25974625963964,8.330075695653719,5.323572266249689,2.0647499911155336,0.4975301183410924,2.51,12.2105625150529,6575.0,26.775533474507245,3129.0,12.657766990291261,1402.0,5.667852522639069,14.466019417475728
Florida,Broward,1943266,1935729,1947026,137900,368968,396510,471290,10.0,26.8,28.8,34.3,244519.0,48.14623521268106,25.054538801131592,0.988330509186616,4.086944765149418,0.1553316236334378,2.77,612.687716792382,614436.0,31.55766795101863,245036.0,12.65859012289427,93514.0,4.812207901543072,12.631881838831779
Nebraska,Hall,62760,62092,62097,6073,12541,12864,8741,15.1,31.2,32.0,21.7,7341.0,71.44513865735036,3.512459591493557,2.7586506820521,1.462679210820057,0.1072728063435919,2.64,43.3474635102023,16136.0,25.985152261783984,7865.0,12.666688140179089,3597.0,5.731357552581262,11.82277910197771
Alabama,Pickens,18922,18615,18697,2332,5903,3851,1854,16.7,42.3,27.6,13.3,3591.0,56.938505396049685,39.28935043779271,1.1504785176135206,0.554876807167583,0.0254530645489716,2.49,8.89134644415793,5271.0,28.19168850617746,2358.0,12.667203867848508,1053.0,5.564950850861431,19.29089443996777
Georgia,Upson,27740,27673,28086,3246,6607,6164,2736,17.3,35.2,32.9,14.6,5129.0,66.39586154220046,28.899767385341807,1.7220428427594348,0.8089435128285247,0.0694372114015901,2.52,31.2924161159643,7803.0,27.782525101474043,3506.0,12.669388935063058,1383.0,4.985580389329488,18.534311422686372
Illinois,Jersey,21495,21370,21246,1139,5596,4903,3364,7.6,37.3,32.7,22.4,1914.0,93.96739371862644,1.2349518013415663,2.1234063346808227,0.6974368086713163,0.1021722713340144,2.43,23.0739793725671,6320.0,29.746775863691987,2709.0,12.676649508656995,874.0,4.066061874854618,8.956481048198409
Texas,Collingsworth,2638,2603,2568,478,434,523,444,25.4,23.1,27.8,23.6,436.0,73.73194491098421,4.971447766207591,2.888814242526033,1.0749076251259655,0.705408128988915,2.78,1.25948506176896,702.0,27.33644859813084,330.0,12.677679600461007,22.0,0.8339651250947688,16.749903956972723
Georgia,Jefferson,15678,15494,15314,2180,4441,2933,1194,20.3,41.3,27.3,11.1,3037.0,45.1780415430267,50.74183976261127,0.9272997032640948,0.6923837784371909,0.1545499505440158,2.72,11.5650796520333,3668.0,23.951939401854514,1965.0,12.68232864334581,943.0,6.014797805842582,19.601135923583325
California,Los Angeles,9992236,9811842,9721138,1381447,1411475,1772567,2356572,20.0,20.4,25.6,34.0,1365808.0,39.76590977130784,8.140530316805407,2.82596979462017,14.63063498445988,0.4810086177730431,3.0,960.742777931457,2908425.0,29.918565089807387,1244831.0,12.687026554239257,332945.0,3.3320369935217706,13.919995858066203
Wisconsin,Milwaukee,938527,924207,918661,67517,178071,175637,201990,10.8,28.6,28.2,32.4,161890.0,55.0312629213135,26.08083912643932,2.0813542843807404,5.286178951537388,0.1286926511557646,2.44,1525.65896177732,277430.0,30.199388022349922,117272.0,12.688932241370168,57779.0,6.156349257932909,17.516638588541312
Arkansas,Pope,63403,63756,64065,6442,13836,11106,9502,15.8,33.8,27.2,23.2,10897.0,82.07451140065146,4.141461144718474,4.163273615635179,1.534143787808283,0.1046998604001861,2.66,30.2430486280974,18455.0,28.80668071489893,8090.0,12.689001819436601,3147.0,4.963487532135703,17.09172470042035
Tennessee,Monroe,46395,46668,47740,5049,13116,9760,5060,15.3,39.8,29.6,15.3,7185.0,90.34915572999714,2.297722719653297,3.109284925794186,0.6541559344208676,0.0715483053272823,2.56,27.8633670466875,14681.0,30.751989945538334,5926.0,12.698208622610782,1736.0,3.7417825196680674,15.395988686037542
Kentucky,Owsley,4031,3967,3929,939,1236,466,344,31.5,41.4,15.6,11.5,1386.0,95.67502986857824,1.099163679808841,1.7443249701314216,0.2150537634408602,0.1911589008363201,2.63,8.72902344082527,1574.0,40.06108424535505,504.0,12.70481472145198,115.0,2.852890101711734,34.93824048399294
Texas,Limestone,22139,22125,22253,2394,5395,5233,2422,15.5,34.9,33.9,15.7,3503.0,64.65240418699696,17.16918970766087,2.6856833062262813,1.0217273447599984,0.1793235747946119,2.76,10.0274911377255,5100.0,22.918258212375857,2811.0,12.705084745762713,698.0,3.1528072632006867,15.83276836158192
Illinois,Woodford,38395,38210,38128,1484,7280,8124,9059,5.7,28.1,31.3,34.9,2484.0,93.84918163473756,1.489748636057896,1.706484641638225,0.9939961635235792,0.079718990558282,2.59,28.3968766382412,10578.0,27.74339068401175,4856.0,12.708714996074328,1177.0,3.0655033207448885,6.500915990578382
Oklahoma,Cotton,5535,5467,5477,631,1590,986,645,16.4,41.3,25.6,16.7,958.0,77.17532467532467,2.6785714285714284,15.259740259740258,1.4123376623376622,0.3246753246753247,2.62,3.61840619087878,1464.0,26.729961657841883,695.0,12.712639473202852,135.0,2.4390243902439024,17.52332174867386
South Dakota,Perkins,2842,2823,2804,172,705,788,439,8.2,33.5,37.5,20.9,397.0,93.29019073569482,0.6130790190735695,3.88283378746594,0.3405994550408719,0.3405994550408719,2.18,0.391014693257454,684.0,24.393723252496432,359.0,12.71696776478923,100.0,3.5186488388458828,14.06305348919589
Iowa,Page,15196,15215,15143,886,4341,4023,1933,7.9,38.8,36.0,17.3,2219.0,91.12730928741988,2.808847555611412,2.130199824054292,1.4327007666205858,0.1068241799673243,2.27,11.0884354382736,3339.0,22.0497919830945,1935.0,12.717712783437396,919.0,6.047644116872862,14.584291817285575
Oklahoma,Carter,48036,48324,48510,4116,11684,9858,6465,12.8,36.4,30.7,20.1,6725.0,68.98678251905307,7.888148448142557,15.735797651043775,1.4248370825816428,0.2117006001251795,2.59,22.7318465494414,14366.0,29.61451247165533,6149.0,12.7245261153878,1146.0,2.3857107169622784,13.916480423805977
Indiana,Fayette,23362,23376,23349,2472,7284,4190,2472,15.1,44.4,25.5,15.1,3116.0,94.2619234098685,2.0981903623397504,1.6859722164969702,0.5317614081371862,0.0453439960427058,2.39,41.7650117712456,6751.0,28.913443830570902,2975.0,12.726728268309376,1298.0,5.556031161715606,13.329911019849419
Utah,Salt Lake,1186921,1186440,1186257,61229,166397,241886,277237,8.2,22.3,32.4,37.1,103046.0,73.23349908720792,2.667644385373939,2.247760031164784,5.274104967269339,2.286716010907674,3.0,583.162253223751,346815.0,29.236076162248146,151004.0,12.727487272849869,61673.0,5.196049273709034,8.685310677320388
South Dakota,Edmunds,3982,4028,4065,205,924,959,683,7.4,33.3,34.6,24.6,389.0,95.10284035259548,0.6856023506366308,2.22820763956905,0.9059745347698336,0.0734573947110675,2.45,1.35103791250186,949.0,23.345633456334564,513.0,12.735849056603774,198.0,4.972375690607735,9.657398212512414
Texas,Duval,9807,10003,9888,1766,2134,1926,565,27.6,33.4,30.1,8.8,2776.0,63.02521008403361,1.574683927625104,0.7797713680066621,0.4996593231887349,0.0605647664471193,3.09,2.44451989496542,3412.0,34.506472491909385,1274.0,12.736179146256124,540.0,5.506271030896299,27.751674497650704
Iowa,Palo Alto,8989,8909,8764,403,1814,2512,1436,6.5,29.4,40.7,23.3,1024.0,94.01782837504028,0.9021587369777682,1.4069380302867576,0.8269788422296208,0.1503597894962947,2.28,6.20039152250726,2048.0,23.368324965769055,1135.0,12.739925917611405,483.0,5.373233952608744,11.493994836682008
Mississippi,Leake,21245,21247,21135,2661,4995,4104,2311,18.9,35.5,29.2,16.4,4157.0,48.31584253700564,38.838733330278174,7.4332065441547135,0.4353604326107877,0.1512304660647999,2.72,15.1487333072675,6427.0,30.40927371658387,2707.0,12.740622205487833,1249.0,5.879030360084726,19.56511507506942
South Dakota,Clay,14996,15155,15280,375,1887,1703,3365,5.1,25.7,23.2,45.9,2167.0,85.99177475482442,2.619424232837709,6.010756089844986,2.897817146472635,0.1075608984498576,2.24,13.0487207889216,3493.0,22.85994764397906,1931.0,12.741669416034313,1077.0,7.181915177380635,14.298911250412406
Arkansas,Arkansas,17107,16683,16512,1596,5020,3385,1987,13.3,41.9,28.2,16.6,2923.0,68.93268748956072,24.625577640443183,2.15466844830466,0.8240075719614721,0.1558933244251433,2.33,7.07723545354986,5696.0,34.49612403100775,2126.0,12.743511358868309,818.0,4.78166832290875,17.520829587004734
Missouri,Marion,28480,28502,28438,1999,7041,5532,4677,10.4,36.6,28.7,24.3,3760.0,88.28870625662778,6.193663838812301,2.402571580063627,1.007423117709438,0.2087751855779427,2.36,25.3370527228905,8051.0,28.310711020465572,3633.0,12.746473931653918,1326.0,4.655898876404494,13.192056697775595
Mississippi,Itawamba,23862,23866,23903,2646,5644,5430,2364,16.5,35.1,33.8,14.7,3005.0,88.99540967624,7.368891416500792,1.5639598651338504,0.357476540602023,0.0406223341593207,2.57,17.0153185760814,7430.0,31.083964355938587,3044.0,12.75454621637476,1336.0,5.5988601123124635,12.591133830553927
South Dakota,Hamlin,6157,6263,6352,284,1425,1147,767,7.8,39.3,31.7,21.2,473.0,92.9866036249015,0.3782505910165484,1.702127659574468,0.4412923561859732,0.1418439716312056,2.62,4.56713565877378,1508.0,23.740554156171285,799.0,12.7574644738943,309.0,5.018677927562124,7.552291234232795
Tennessee,Weakley,32899,32870,33063,2740,9364,4733,4549,12.8,43.8,22.1,21.3,5665.0,85.69608524438267,8.909543664581886,1.9342135742413715,0.9584201992124162,0.1418809358350706,2.28,22.3709822836663,9586.0,28.993134319329766,4195.0,12.762397322786736,1818.0,5.526003829903645,17.234560389412838
Illinois,Boone,53334,53199,53154,4575,11504,10539,8795,12.9,32.5,29.8,24.8,5341.0,74.65802735781138,3.0338038073233213,2.3959013511477223,1.655867530597552,0.1121770723458402,2.84,73.7185219480631,14162.0,26.643338224780827,6791.0,12.765277542810955,2942.0,5.516181047736903,10.039662399669167
South Dakota,Lake,11008,10863,10972,680,2139,2400,2574,8.7,27.4,30.8,33.0,986.0,91.71011470281545,1.6597149808828642,2.233229058046576,1.0775112964893987,0.1564129301355578,2.54,8.62484113725465,2335.0,21.281443674808603,1387.0,12.768111939611526,645.0,5.859375,9.076682316118937
North Carolina,Columbus,50487,49953,49885,5801,13275,12170,5112,16.0,36.5,33.5,14.1,11160.0,60.71333813440473,29.356024712883293,4.952052458022211,0.4737899404919835,0.111814425956108,2.39,23.1686056433617,15997.0,32.06775583842838,6380.0,12.772005685344222,2130.0,4.21890783766118,22.341000540508077
Georgia,Toombs,27081,26873,26837,3083,5794,5636,2931,17.7,33.2,32.3,16.8,6087.0,62.7550841206842,25.99838432088792,1.4822099680376524,0.9834568508306696,0.0667345720206525,2.56,28.6897125699805,7114.0,26.508179006595373,3439.0,12.797231421873256,1620.0,5.982053838484546,22.650987980500876
Mississippi,Leflore,28191,27398,26570,3090,6396,4888,3322,17.5,36.1,27.6,18.8,9394.0,22.529084820657992,73.47326267822004,0.6144923533676252,0.8872164877274139,0.0379742465564262,2.77,19.3702813434252,7326.0,27.57245013172751,3507.0,12.800204394481348,1891.0,6.707814550743145,34.28717424629535
Louisiana,Franklin,19712,19593,19308,3100,5483,2831,1983,23.1,40.9,21.1,14.8,4565.0,63.73954307519202,33.27625850007338,1.2572770412406438,0.4696443422533145,0.1027346998679125,2.49,12.5625307043903,7352.0,38.07748083695877,2508.0,12.800489970907977,1498.0,7.5994318181818175,23.299137447047418
Iowa,Osceola,6202,6163,6036,495,1635,1464,738,11.4,37.7,33.8,17.0,542.0,88.73714899493632,0.951357986803744,1.5344483658124903,0.797913150222495,0.644468313641246,2.31,5.92198008840868,1394.0,23.09476474486415,789.0,12.802206717507708,419.0,6.7558851983231225,8.794418302774623
Tennessee,Bedford,50381,51157,51950,5350,13777,7931,5927,16.2,41.8,24.0,18.0,6785.0,76.65194132229864,8.2983839400548,2.564819474733919,0.9338477884023934,0.1472534436802177,2.79,38.7684302227866,15004.0,28.881616939364775,6550.0,12.803721875794125,2153.0,4.273436414521347,13.263092049963838
New Mexico,San Juan,121368,120866,120418,11330,24190,32610,11944,14.1,30.2,40.7,14.9,29043.0,45.58792643043596,1.2024063128206668,40.42875573824597,1.0726394431276065,0.1777731105043655,2.91,8.9194931305282,40943.0,34.000730787755984,15476.0,12.8042625717737,4330.0,3.567661986685123,24.02909006668542
Montana,Prairie,1093,1101,1107,119,263,296,234,13.0,28.8,32.5,25.7,146.0,90.57412167952012,0.6855184233076265,4.370179948586118,1.970865467009426,0.2570694087403599,2.44,0.298369404534263,263.0,23.757904245709124,141.0,12.806539509536785,44.0,4.025617566331198,13.260672116257947
South Dakota,Lincoln,65650,67995,70987,1708,9592,12939,17019,4.1,23.2,31.4,41.3,2657.0,90.62532072428708,2.589252987317645,2.0130488967084528,2.206583095081006,0.0953009310167876,2.82,36.7272984287328,15590.0,21.961767647597448,8710.0,12.80976542392823,4270.0,6.504188880426503,3.90764026766674
Texas,Zapata,13874,13893,13849,2502,2573,1865,939,31.8,32.7,23.7,11.9,4001.0,57.853687432125575,0.1925165366768683,0.681212360548919,0.2023891795833744,0.0394905716260242,3.25,5.55672382708122,3752.0,27.092208823741785,1780.0,12.812207586554381,386.0,2.782182499639614,28.798675592024757
Nebraska,Clay,6105,6047,6049,294,1487,1564,838,7.0,35.5,37.4,20.0,595.0,90.18176169022836,0.5748019263632127,1.9574335870747244,0.3107037439801149,0.1553518719900574,2.38,4.20449580583597,1512.0,24.995867085468674,775.0,12.816272531833967,269.0,4.406224406224406,9.839589879278982
Arkansas,Cleveland,7550,7490,7467,514,2584,1509,924,9.3,46.7,27.3,16.7,1054.0,85.58145459177175,9.718507196535471,1.7959495605655331,0.4585403133358807,0.0764233855559801,2.47,5.31308376264506,2269.0,30.387036293022636,960.0,12.817089452603472,297.0,3.933774834437086,14.072096128170895
Washington,Franklin,97143,98126,98678,13299,13941,17073,10937,24.1,25.2,30.9,19.8,11196.0,54.01851378845662,2.3930524850929653,2.693395104679532,2.4916987413794622,0.5267005469582603,3.36,28.1927662599176,32668.0,33.105656782666856,12579.0,12.81923241546583,5454.0,5.614403508230135,11.409820027311824
Georgia,Jeff Davis,14799,14848,14889,1966,3391,3019,1235,20.5,35.3,31.4,12.8,2861.0,71.0196204567385,16.03731103248633,1.627532968800257,0.5339337407526535,0.1479575426182052,2.82,17.4909177350825,3935.0,26.428907246960843,1904.0,12.823275862068966,935.0,6.317994459085073,19.268588362068968
Texas,Robertson,16771,16948,17153,1726,4392,3300,2043,15.1,38.3,28.8,17.8,2842.0,64.66755025403137,18.671305500331343,2.07090788601723,0.8007510492599956,0.1656726308813783,2.63,7.62624859349727,4541.0,26.473503177286773,2174.0,12.827472268114231,448.0,2.671277800965953,16.76894028793958
Nebraska,Kimball,3411,3405,3315,309,982,945,326,12.1,38.3,36.9,12.7,401.0,90.79923098049989,1.0162043394671794,3.0211480362537766,0.4669046965119472,0.0823949464432848,2.3,1.48746439864802,752.0,22.68476621417798,437.0,12.834067547723935,108.0,3.16622691292876,11.776798825256975
Wisconsin,Racine,197536,196439,195846,11194,41240,46469,36193,8.3,30.5,34.4,26.8,23827.0,73.60311399033111,12.981885848059068,1.9388560795305003,1.6216390929533504,0.1246704314058669,2.49,226.838108701495,57729.0,29.476731717778254,25218.0,12.837572987034143,12178.0,6.1649522112425075,12.129465126578735
Texas,Cochran,2557,2491,2526,551,562,413,163,32.6,33.3,24.5,9.7,529.0,62.11015262110152,3.11877903118779,1.7252820172528205,0.53085600530856,0.06635700066357,2.8,1.44660861338296,891.0,35.273159144893114,320.0,12.846246487354476,142.0,5.553382870551427,21.23645122440787
Oklahoma,McCurtain,30838,30884,30931,3273,8860,5405,3001,15.9,43.1,26.3,14.6,6571.0,63.20816958779152,9.592381170936005,21.631622730271648,0.6138664983792776,1.3768968187946418,2.54,6.87775334269374,8117.0,26.242281206556527,3969.0,12.85131459655485,1926.0,6.245541215383618,21.276389068773476
Iowa,Cerro Gordo,43023,42761,42409,1999,10283,11166,7360,6.5,33.4,36.2,23.9,4895.0,89.79065098938916,3.2450199642628665,1.2860956078621697,1.6478789349451808,0.4147272286073548,2.17,29.2032627979919,11156.0,26.305736989789903,5499.0,12.859848927761277,2482.0,5.769007275178393,11.447346881504174
Kansas,Russell,6670,6677,6639,327,1353,2028,1019,6.9,28.6,42.9,21.6,961.0,91.81137935902863,1.93420866864323,2.6683608640406606,0.7765071297472823,0.0564732457998023,2.3,3.03955358710342,1883.0,28.362705226690764,859.0,12.865059158304629,326.0,4.887556221889056,14.392691328440915
Kansas,Clark,1974,1958,1933,80,412,534,386,5.7,29.2,37.8,27.3,218.0,86.3231850117096,0.936768149882904,2.857142857142857,1.4988290398126465,0.234192037470726,2.23,0.813294674589136,504.0,26.073460941541644,252.0,12.870275791624106,88.0,4.4579533941236065,11.133810010214505
Mississippi,Humphreys,7735,7548,7333,1227,1541,1470,939,23.7,29.8,28.4,18.1,2489.0,19.68789013732834,78.12734082397003,0.9737827715355803,0.3245942571785268,0.1622971285892634,2.66,7.87768938748075,2030.0,27.683076503477434,972.0,12.87758346581876,495.0,6.399482870071105,32.97562268150504
North Dakota,Williams,41184,38487,38109,2108,7120,8955,5871,8.8,29.6,37.2,24.4,3239.0,79.04089635854342,5.6000000000000005,6.032492997198879,2.0907563025210085,0.419047619047619,2.44,6.32886165573168,10496.0,27.54205043428062,4958.0,12.882271935978382,2457.0,5.965909090909091,8.415828721386443
Texas,Jim Hogg,4846,4797,4763,693,930,591,337,27.2,36.5,23.2,13.2,1111.0,61.77623642943305,0.1658624849215922,0.9047044632086853,0.5428226779252111,0.2714113389626055,3.07,1.79496563039944,2648.0,55.595213100986776,618.0,12.88305190744215,194.0,4.00330169211721,23.160308526162186
Wisconsin,Oconto,39080,39393,39633,2228,11812,9572,4854,7.8,41.5,33.6,17.1,3225.0,93.49928455124092,0.5575566191345537,2.8469926481472343,0.564957813193862,0.0394730349829772,2.34,14.5370661885633,11522.0,29.07173315166654,5076.0,12.885538039753255,2882.0,7.3746161719549645,8.18673368364938
Missouri,Nodaway,21000,20984,20670,729,4654,3414,3258,6.0,38.6,28.3,27.0,2725.0,91.66968162083936,2.292872648335745,1.931078147612156,2.1933791606367583,0.1356729377713458,2.34,9.92679776276597,6089.0,29.4581519109821,2704.0,12.886008387342738,1603.0,7.633333333333334,12.986084635913075
Georgia,Echols,3720,3708,3686,535,1153,602,260,21.0,45.2,23.6,10.2,794.0,70.22308438409311,4.67992240543162,3.394762366634336,0.848690591658584,0.4122211445198835,2.56,3.66809197234582,937.0,25.420510037981554,478.0,12.891046386192018,263.0,7.069892473118279,21.413160733549084
Utah,Wasatch,35063,36260,36619,811,4128,6531,9103,3.9,20.1,31.7,44.2,1751.0,84.34817382031459,0.8930951746201014,1.436950146627566,1.6608904292188749,0.3918954945347907,3.17,10.0125703436495,10804.0,29.503809497801686,4675.0,12.892995035852179,1511.0,4.309385962410518,4.829012686155544
Wisconsin,Barron,46714,46746,46843,3133,11797,11321,6808,9.5,35.7,34.2,20.6,4219.0,91.19649007708708,2.2408561587666065,2.4622765294407087,1.0517467607019846,0.0943086763982286,2.33,20.2449026844077,13743.0,29.338428367098608,6027.0,12.89308176100629,2227.0,4.767307445305476,9.025371154751209
Oklahoma,Ottawa,30229,30400,30338,2726,7003,7090,3073,13.7,35.2,35.6,15.4,6023.0,67.64646083243777,1.7659531209155075,25.437857620029625,0.8365041099073456,0.8074588283133405,2.55,25.885068751447,9204.0,30.338189729052672,3924.0,12.907894736842104,1441.0,4.766945648218598,19.8125
Utah,Summit,42482,43168,43036,1413,4571,6777,15704,5.0,16.1,23.8,55.2,2509.0,85.32475827588485,0.8127216263242518,1.2311961764641104,2.691452106688985,0.3039446732594763,2.77,8.3617858054769,13832.0,32.140533506831495,5573.0,12.910025945144552,1802.0,4.241796525587308,5.812175685693106
Florida,DeSoto,34087,34340,35312,6215,10331,4964,3141,25.2,41.9,20.1,12.7,8117.0,66.19011326903367,12.115318914088986,1.4506846075004598,0.696433733673228,0.1208903839583716,2.74,22.0730089619394,9455.0,26.77560036248301,4435.0,12.914967967384975,1766.0,5.180860738698037,23.637157833430404
Tennessee,Carroll,28421,28287,28458,2335,7987,5260,3970,11.9,40.9,26.9,20.3,4318.0,84.59123697568796,9.88845845578413,2.317659631311782,0.7046486775313919,0.1970344643334223,2.45,18.1003486767496,8978.0,31.548246538758875,3659.0,12.935270619012268,1388.0,4.883712747616199,15.264962703715486
Florida,Hardee,25331,25307,25645,3940,7693,3252,1698,23.8,46.4,19.6,10.2,5268.0,64.0194435132417,8.169627891384511,1.659403285283272,0.8783104257458935,0.1072745558162923,3.22,16.4885295462253,8696.0,33.90914408266718,3275.0,12.941083494685266,1680.0,6.632189806955904,20.816374916031137
Montana,Wibaux,937,935,919,53,280,213,174,7.4,38.9,29.6,24.2,101.0,91.36546184738955,1.0040160642570282,1.8072289156626504,1.706827309236948,0.2008032128514056,2.31,0.510539111008718,204.0,22.198041349292712,121.0,12.941176470588237,51.0,5.44290288153682,10.802139037433154
New York,Westchester,1001431,999607,990427,77286,127801,137037,351129,11.1,18.4,19.8,50.6,91529.0,55.805386948572,14.805910887595475,1.5351056966785117,7.021673967358956,0.1274205448253002,2.71,868.763066558485,264447.0,26.700301990959456,129398.0,12.944887340724906,43655.0,4.359261896226499,9.156498503912038
Arkansas,Crittenden,48086,47475,47061,4784,10940,9749,5392,15.5,35.4,31.6,17.5,10706.0,41.69046715532565,53.32640955481436,1.4919411212526714,0.904751443008648,0.0738980207313906,2.58,31.0060680601584,14315.0,30.417968168972187,6146.0,12.945760926803581,2850.0,5.926881004866281,22.550816219062664
North Carolina,Montgomery,25719,25853,25894,3200,6089,5789,2983,17.7,33.7,32.1,16.5,4407.0,66.73906641142689,16.772198498012074,1.7891326756000587,1.6676483581210426,0.1877484906493889,2.51,21.474539034621,7308.0,28.22275430601684,3347.0,12.946273159788033,1268.0,4.930207239783817,17.046377596410476
Tennessee,Maury,101824,105003,108159,6113,22614,22531,17472,8.9,32.9,32.8,25.4,10695.0,78.08428056556696,12.113483042232694,2.231771555309121,1.3436835782275205,0.125681545143702,2.64,56.5332527325587,29162.0,26.962157564326596,13600.0,12.95201089492681,4624.0,4.541169076052797,10.185423273620755
