state,county,pop_2020,pop_2021,pop_2022,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher,pov_2021,Percent Caucasian,Percent African American,Percent Indian,Percent Asian,Percent Pacific,avg_house_size,pop_density,cases_2022,cases_percentage_2022,cases_2021,cases_percentage_2021,cases_2020,cases_percentage_2020,pov_percentage
Pennsylvania,Fayette,128569,127113,125755,10430,45513,22130,17018,11.0,47.9,23.3,17.9,19633.0,90.02625840046285,5.566929250671295,1.6496803002655511,0.5006898393341939,0.1735724776358538,2.34,64.6268140453684,31332.0,24.915112719176175,13217.0,10.397834997207209,1292.0,1.004907870481998,15.445312438538938
Kentucky,Robertson,2181,2250,2229,236,621,474,212,15.3,40.2,30.7,13.7,407.0,95.55261999119332,0.968736239542052,1.5411712901805372,0.7926023778071334,0.3082342580361074,2.31,8.28068634857138,672.0,30.148048452220728,234.0,10.4,53.0,2.430077945896378,18.08888888888889
Missouri,Andrew,18098,18009,18003,813,4713,3577,3414,6.5,37.7,28.6,27.3,1543.0,93.23905157457548,1.6718363913569214,2.350034172756427,0.7360285999684559,0.0736028599968455,2.53,15.5313136012,4828.0,26.817752596789425,1873.0,10.400355377866623,579.0,3.1992485357498066,8.567938253095676
Mississippi,Adams,29419,28804,28408,4260,7089,5854,3758,20.3,33.8,27.9,17.9,6846.0,38.23674597689802,56.57682561621746,1.1682627439365518,0.7075394082996017,0.1118899529404021,2.55,26.3448360714935,7224.0,25.429456491129258,2998.0,10.408276628246076,1214.0,4.126584860124409,23.767532287182334
Georgia,Colquitt,45900,45757,45762,7054,11510,7028,4311,23.6,38.5,23.5,14.4,10027.0,61.35467929999388,21.74348083559657,1.8112760613424272,1.0353066100345103,0.0878070694901063,2.92,32.1897996301434,11752.0,25.680695773786113,4763.0,10.409336276416722,2568.0,5.594771241830065,21.913586992154205
Indiana,Lawrence,45012,45045,45222,3573,12115,9909,6304,11.2,38.0,31.1,19.8,5608.0,94.38125374155476,1.0155648678696656,2.212862396305482,0.7974856751902848,0.0919353459334644,2.43,39.2129001090914,12021.0,26.58219450709832,4689.0,10.40959040959041,1419.0,3.1524926686217007,12.44977244977245
California,Madera,156343,158910,160256,27789,22929,31711,16144,28.2,23.3,32.2,16.4,31044.0,48.521082441787286,3.201904397077736,6.59643746408734,2.956740635346266,0.3234191588912907,3.28,28.0078977064307,43685.0,27.25950978434505,16543.0,10.410295135611353,5426.0,3.4705743141682075,19.535586180857088
Kentucky,Lewis,13082,13006,12954,2091,4012,2246,808,22.8,43.8,24.5,8.8,2899.0,96.45537638403805,0.8545738277476407,1.6942855019692356,0.2006390726016199,0.0445864605781377,2.46,10.7872650896404,4529.0,34.96217384591632,1354.0,10.410579732431186,411.0,3.141721449319676,22.289712440412117
Georgia,Seminole,9131,9142,9127,955,2689,2045,1069,14.1,39.8,30.3,15.8,2124.0,62.73121234541803,32.692104428707324,1.5431772539900646,0.9089948208434626,0.0528485360955501,2.51,13.7139019080113,2173.0,23.808480333077682,952.0,10.413476263399694,484.0,5.300624247070419,23.23342813388755
New York,Lewis,26551,26745,26699,1644,8038,5378,3491,8.9,43.3,29.0,18.8,3312.0,94.39505637467477,0.878143972246314,1.488869615495808,0.5962705984388552,0.1915293437409656,2.57,8.09346087624435,6417.0,24.034608037754225,2787.0,10.420639371845205,219.0,0.8248276901058341,12.383623107122826
