"GEO_ID","NAME","P6_001N","P6_001NA","P6_002N","P6_002NA","P6_003N","P6_003NA","P6_004N","P6_004NA","P6_005N","P6_005NA","P6_006N","P6_006NA","P6_007N","P6_007NA",
"0500000US05021","Clay County, Arkansas","15213","null","14332","null","155","null","354","null","56","null","16","null","300","null",
"0500000US05023","Cleburne County, Arkansas","25979","null","24153","null","202","null","803","null","164","null","26","null","631","null",
"0500000US05025","Cleveland County, Arkansas","7851","null","6719","null","763","null","141","null","36","null","6","null","186","null",
"0500000US05027","Columbia County, Arkansas","23693","null","14135","null","8155","null","415","null","228","null","12","null","748","null",
"0500000US05029","Conway County, Arkansas","22227","null","17750","null","2572","null","916","null","148","null","54","null","787","null",
"0500000US05031","Craighead County, Arkansas","118046","null","86833","null","20502","null","2571","null","2159","null","150","null","5831","null",
"0500000US05033","Crawford County, Arkansas","66227","null","54301","null","1619","null","4912","null","1353","null","101","null","3941","null",
"0500000US05035","Crittenden County, Arkansas","50069","null","20874","null","26700","null","747","null","453","null","37","null","1258","null",
"0500000US05037","Cross County, Arkansas","17544","null","12828","null","3896","null","355","null","135","null","19","null","311","null",
"0500000US05039","Dallas County, Arkansas","6798","null","3727","null","2723","null","125","null","32","null","15","null","176","null",
"0500000US05041","Desha County, Arkansas","11967","null","5310","null","5613","null","241","null","91","null","18","null","694","null",
"0500000US05043","Drew County, Arkansas","18054","null","11871","null","5108","null","325","null","151","null","38","null","561","null",
"0500000US05045","Faulkner County, Arkansas","133333","null","103144","null","16853","null","4557","null","2272","null","182","null","6325","null",
"0500000US05047","Franklin County, Arkansas","18223","null","16415","null","174","null","871","null","225","null","32","null","506","null",
"0500000US05049","Fulton County, Arkansas","12738","null","11863","null","84","null","473","null","93","null","14","null","211","null",
"0500000US05051","Garland County, Arkansas","108666","null","86484","null","10082","null","4192","null","1489","null","180","null","6239","null",
"0500000US05053","Grant County, Arkansas","18869","null","17143","null","564","null","559","null","130","null","16","null","457","null",
"0500000US05055","Greene County, Arkansas","48245","null","43447","null","1294","null","1319","null","300","null","314","null","1571","null",
"0500000US05057","Hempstead County, Arkansas","21488","null","12267","null","6007","null","519","null","162","null","20","null","2513","null",
"0500000US05059","Hot Spring County, Arkansas","35238","null","28511","null","4062","null","1188","null","229","null","54","null","1194","null",
"0500000US05061","Howard County, Arkansas","13604","null","8870","null","2833","null","424","null","107","null","25","null","1345","null",
"0500000US05063","Independence County, Arkansas","40460","null","34443","null","1253","null","1302","null","513","null","67","null","2882","null",
"0500000US05065","Izard County, Arkansas","14391","null","13052","null","348","null","576","null","67","null","20","null","328","null",
"0500000US05067","Jackson County, Arkansas","17502","null","13553","null","3044","null","373","null","103","null","17","null","412","null",
"0500000US05069","Jefferson County, Arkansas","69446","null","27250","null","38756","null","1030","null","842","null","131","null","1437","null",
"0500000US05071","Johnson County, Arkansas","27787","null","22019","null","731","null","1128","null","994","null","60","null","2855","null",
"0500000US05073","Lafayette County, Arkansas","6543","null","4117","null","2130","null","117","null","50","null","14","null","115","null",
"0500000US05075","Lawrence County, Arkansas","16988","null","15778","null","274","null","480","null","57","null","24","null","375","null",
"0500000US05077","Lee County, Arkansas","8950","null","3732","null","4827","null","165","null","30","null","23","null","173","null",
"0500000US05079","Lincoln County, Arkansas","13492","null","8800","null","3821","null","234","null","68","null","27","null","542","null",
"0500000US05081","Little River County, Arkansas","12855","null","9448","null","2367","null","620","null","66","null","16","null","338","null",
"0500000US05083","Logan County, Arkansas","22446","null","20084","null","409","null","919","null","409","null","22","null","603","null",
"0500000US05085","Lonoke County, Arkansas","79721","null","66871","null","5426","null","2644","null","1411","null","154","null","3215","null",
"0500000US05087","Madison County, Arkansas","17719","null","15394","null","114","null","890","null","166","null","260","null","895","null",
"0500000US05089","Marion County, Arkansas","17832","null","16515","null","90","null","702","null","114","null","32","null","379","null",
"0500000US05091","Miller County, Arkansas","45077","null","30238","null","11736","null","1278","null","335","null","57","null","1433","null",
"0500000US05093","Mississippi County, Arkansas","42547","null","24769","null","15089","null","721","null","327","null","32","null","1609","null",
"0500000US05095","Monroe County, Arkansas","7075","null","3785","null","2874","null","170","null","33","null","13","null","200","null",
"0500000US05097","Montgomery County, Arkansas","9017","null","8074","null","45","null","405","null","76","null","17","null","400","null",
"0500000US05099","Nevada County, Arkansas","8720","null","5580","null","2589","null","193","null","63","null","7","null","288","null",
"0500000US05101","Newton County, Arkansas","7663","null","7065","null","38","null","340","null","55","null","32","null","133","null",
"0500000US05103","Ouachita County, Arkansas","23869","null","13209","null","9430","null","503","null","213","null","33","null","481","null",
"0500000US05105","Perry County, Arkansas","10623","null","9725","null","191","null","384","null","48","null","1","null","274","null",
"0500000US05107","Phillips County, Arkansas","17053","null","5972","null","10560","null","199","null","87","null","15","null","220","null",
"0500000US05109","Pike County, Arkansas","10826","null","9288","null","326","null","368","null","44","null","15","null","785","null",
"0500000US05111","Poinsett County, Arkansas","24180","null","20524","null","2170","null","564","null","120","null","16","null","786","null",
"0500000US05113","Polk County, Arkansas","20928","null","18072","null","177","null","1324","null","148","null","33","null","1174","null",
"0500000US05115","Pope County, Arkansas","68768","null","56441","null","2848","null","2863","null","1055","null","72","null","5489","null",
"0500000US05117","Prairie County, Arkansas","8586","null","7247","null","1010","null","155","null","32","null","16","null","126","null",
"0500000US05119","Pulaski County, Arkansas","426278","null","221773","null","151682","null","10522","null","13064","null","552","null","28685","null",
"0500000US05121","Randolph County, Arkansas","19462","null","17510","null","258","null","552","null","147","null","618","null","377","null",
"0500000US05123","St. Francis County, Arkansas","23733","null","10071","null","12825","null","310","null","156","null","28","null","343","null",
"0500000US05125","Saline County, Arkansas","131711","null","106095","null","11808","null","3996","null","2019","null","140","null","7653","null",
"0500000US05127","Scott County, Arkansas","10608","null","8937","null","110","null","579","null","316","null","9","null","657","null",
"0500000US05129","Searcy County, Arkansas","8411","null","7673","null","38","null","495","null","37","null","6","null","162","null",
"0500000US05131","Sebastian County, Arkansas","142325","null","99918","null","10687","null","9038","null","6952","null","261","null","15469","null",
"0500000US05133","Sevier County, Arkansas","17670","null","11330","null","770","null","1030","null","116","null","251","null","4173","null",
"0500000US05135","Sharp County, Arkansas","18247","null","16798","null","235","null","669","null","109","null","30","null","406","null",
"0500000US05137","Stone County, Arkansas","13018","null","12106","null","62","null","505","null","52","null","7","null","286","null",
"0500000US05139","Union County, Arkansas","40769","null","24742","null","13242","null","770","null","353","null","35","null","1627","null",
"0500000US05141","Van Buren County, Arkansas","16687","null","15316","null","147","null","696","null","100","null","7","null","421","null",
"0500000US05143","Washington County, Arkansas","272921","null","193191","null","11778","null","13209","null","7899","null","9340","null","37504","null",
"0500000US05145","White County, Arkansas","82128","null","70204","null","4768","null","2670","null","969","null","106","null","3411","null",
"0500000US05147","Woodruff County, Arkansas","6614","null","4548","null","1734","null","117","null","33","null","26","null","156","null",
"0500000US05149","Yell County, Arkansas","22066","null","17007","null","407","null","735","null","287","null","38","null","3592","null",
"0500000US06001","Alameda County, California","1895002","null","689396","null","198654","null","48407","null","605813","null","25113","null","327619","null",
"0500000US06003","Alpine County, California","1364","null","912","null","36","null","268","null","41","null","20","null","87","null",
